gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,weight,symbol,entrez,shrunkLFC,class
ENSG00000006071,292.7286683,0.709094215,0.175052929,4.050741795,5.10555E-05,0.007253924,0.728656052,ABCC8,6833,0.574652339,Up*
ENSG00000006377,448.6523627,-1.229661872,0.359629907,-3.419242525,0.000627957,0.040735198,1.003606999,DLX6,1750,-0.569866586,Down*
ENSG00000006534,26.94277904,-1.209166109,0.373697177,-3.235684356,0.001213515,0.034435145,2.43456659,ALDH3B1,221,-0.444595287,Down*
ENSG00000007372,967.5889488,-2.098163956,0.357926438,-5.861997706,4.57331E-09,1.56464E-06,0.920535377,PAX6,5080,-2.024823747,Down*
ENSG00000012817,904.2175412,-4.375028306,0.481676802,-9.082912616,1.05707E-19,2.32073E-16,0.498961552,KDM5D,8284,-4.199202324,Down*
ENSG00000013619,425.6417309,1.191533582,0.293174692,4.064244341,4.81883E-05,0.004898743,1.063691227,MAMLD1,10046,0.896242598,Up*
ENSG00000021826,134.5659119,-1.081392092,0.275383688,-3.926856011,8.60635E-05,0.004575614,2.078494794,CPS1,1373,-0.775628206,Down*
ENSG00000022556,299.4267056,6.810076721,0.620652897,10.97244008,5.18538E-28,1.54458E-24,0.845833024,NLRP2,55655,6.549800444,Up*
ENSG00000034693,252.4163089,-0.274845831,0.093789803,-2.930444697,0.003384772,0.078444689,2.154407114,PEX3,8504,-0.138901873,Down*
ENSG00000043355,457.718399,-1.716925823,0.360466452,-4.763066885,1.90673E-06,0.000338669,1.003606999,ZIC2,7546,-1.561107934,Down*
ENSG00000047644,791.3085945,0.304748078,0.079169517,3.849310801,0.000118451,0.013823132,0.752252064,WWC3,55841,0.24204155,Up*
ENSG00000053438,12029.66615,4.112062195,0.29081497,14.13978858,2.15932E-45,4.0066E-41,0.678930682,NNAT,4826,4.048705806,Up*
ENSG00000056998,668.0895689,0.610816327,0.189199907,3.2284177,0.001244771,0.071678315,0.890250356,GYG2,8908,0.326863968,Up*
ENSG00000064651,842.9332565,-0.275802197,0.086787231,-3.177912176,0.001483397,0.080819063,0.890250356,SLC12A2,6558,-0.166758575,Down*
ENSG00000065621,121.2396801,-0.663162348,0.20344272,-3.259700552,0.001115299,0.036148071,2.078494794,GSTO2,119391,-0.353625827,Down*
ENSG00000066248,84.57899543,-0.940389987,0.279866655,-3.360135877,0.000779041,0.034695426,1.541475579,NGEF,25791,-0.46430974,Down*
ENSG00000066382,648.7805953,0.749564698,0.225686232,3.321269055,0.000896091,0.050943155,1.063691227,MPPED2,744,0.400895105,Up*
ENSG00000067048,2126.537373,-3.866991731,0.614791235,-6.289926584,3.17616E-10,3.2123E-07,0.341254491,DDX3Y,8653,-3.606700745,Down*
ENSG00000067334,819.9270954,0.355012737,0.107785946,3.293683003,0.000988839,0.072397997,0.69801811,DNTTIP2,30836,0.22305989,Up*
ENSG00000067646,96.42363728,-3.119595907,0.547414934,-5.698777494,1.2067E-08,1.72096E-06,2.154407114,ZFY,7544,-2.939246436,Down*
ENSG00000068781,56.6876202,-1.805708038,0.357123621,-5.05625484,4.2757E-07,4.3577E-05,2.187691391,STON1-GTF2A1L,286749,-1.687251238,Down*
ENSG00000068903,830.4238088,0.272519927,0.07921103,3.440429037,0.000580793,0.041612736,0.890250356,SIRT2,22933,0.189576707,Up*
ENSG00000069275,9541.25247,-0.313149083,0.074885484,-4.181706072,2.8933E-05,0.003602964,0.941042546,NUCKS1,64710,-0.265175834,Down*
ENSG00000069431,127.1828106,-1.087439271,0.368477226,-2.951170912,0.003165717,0.076901879,2.078494794,ABCC9,10060,-0.280027742,Down*
ENSG00000070193,46.90173443,1.296597062,0.462841363,2.801385452,0.00508837,0.094033668,2.43456659,FGF10,2255,0.228476824,Up*
ENSG00000072315,62.54765092,1.828346267,0.465686134,3.92613422,8.6322E-05,0.004447155,2.154407114,TRPC5,7224,1.324828197,Up*
ENSG00000073792,2580.629781,-0.313745325,0.081287197,-3.859713903,0.00011352,0.011297643,0.910654292,IGF2BP2,10644,-0.250040862,Down*
ENSG00000073803,841.9682731,0.715422429,0.096596665,7.406284996,1.29887E-13,9.18981E-11,0.890250356,MAP3K13,9175,0.683271693,Up*
ENSG00000075407,346.347002,2.36495947,0.225527916,10.48632697,9.98343E-26,2.32229E-22,0.902601561,ZNF37A,7587,2.339762199,Up*
ENSG00000077274,3711.167977,1.39993978,0.306077,4.57381568,4.78921E-06,0.000798209,0.910654292,CAPN6,827,1.203850579,Up*
ENSG00000077522,128.9781778,0.731944757,0.252210923,2.902113625,0.003706541,0.081464012,2.187691391,ACTN2,88,0.240706169,Up*
ENSG00000080166,50.3624648,1.018527841,0.347724238,2.929125238,0.003399174,0.096920573,1.541475579,DCT,1638,0.267165629,Up*
ENSG00000080561,211.5892039,0.927589616,0.169643225,5.467884815,4.55438E-08,6.06957E-06,2.017914586,MID2,11043,0.834017637,Up*
ENSG00000080644,83.83695326,-1.149988441,0.355034279,-3.239091295,0.001199112,0.03709834,2.154407114,CHRNA3,1136,-0.436800145,Down*
ENSG00000081842,309.9485027,-1.066300996,0.161705711,-6.594083725,4.2789E-11,1.6892E-08,1.063691227,PCDHA6,56142,-0.992485557,Down*
ENSG00000084453,364.4482979,-0.680296604,0.151232323,-4.49835453,6.84814E-06,0.001113848,0.890250356,SLCO1A2,6579,-0.594736135,Down*
ENSG00000086205,60.33797714,5.03135404,0.673083336,7.475083354,7.71549E-14,2.65382E-11,2.154407114,FOLH1,2346,4.678177912,Up*
ENSG00000088298,168.0189796,0.510731833,0.175422862,2.911432569,0.003597756,0.080454942,2.187691391,EDEM2,55741,0.208744334,Up*
