Gene symbol,Entrez ID,Correlation with Braak r,P-value of correlation with Braak r (BH-corrected),Fold-change between R1 and R6,P-value of fold-change between R1 and R6 (BH-corrected)
IRX2,153572,-0.89,9.73E-05,-6.17,3.91E-04
IRX5,10265,-0.88,1.21E-04,-4.71,5.62E-04
STON1,11037,-0.87,9.23E-05,-4.71,4.34E-04
RSPO4,343637,-0.87,8.62E-05,-4.21,4.45E-04
C5orf38,153571,-0.87,1.54E-04,-4.51,3.96E-04
IRX3,79191,-0.87,1.09E-04,-4.85,2.56E-04
DAO,1610,-0.87,3.18E-04,-7.21,7.40E-04
GPRIN2,9721,-0.87,1.09E-04,-4.46,5.58E-04
CRNDE,643911,-0.86,1.32E-04,-5.64,3.30E-04
HOXB2,3212,-0.85,3.68E-04,-6.60,2.10E-04
HOXA2,3199,-0.85,1.31E-04,-5.48,1.12E-04
RP11-392A22.2,730091,-0.85,3.43E-04,-2.92,7.27E-04
PIRT,644139,-0.85,1.25E-04,-5.23,9.08E-04
PFKFB3,5209,-0.85,5.23E-04,-2.42,1.83E-03
ACHE,43,-0.85,1.56E-04,-2.00,1.12E-04
UBA3,9039,-0.84,7.05E-04,-1.37,3.53E-04
HOXA3,3200,-0.84,1.34E-04,-5.49,3.86E-04
STK33,65975,-0.84,1.53E-04,-2.46,7.20E-04
LIMK2,3985,-0.84,1.34E-04,-2.00,1.95E-03
RAB2B,84932,-0.84,2.43E-04,-1.38,8.94E-04
ARHGAP12,94134,-0.83,8.01E-04,-1.88,1.67E-03
PBX3,5090,-0.83,1.41E-04,-2.48,2.99E-04
HOXB3,3213,-0.83,1.32E-04,-5.28,1.12E-04
RP11-834C11.4,400043,-0.83,1.09E-04,-4.52,1.33E-03
ZBED1,9189,-0.83,1.53E-04,-1.63,1.57E-03
CSDAP1,8531,-0.83,2.13E-04,-1.92,5.58E-04
HOXA4,3201,-0.83,2.75E-04,-6.33,3.30E-04
S100A10,6281,-0.83,1.75E-04,-3.51,7.42E-04
VSTM2B,342865,-0.83,3.18E-04,-3.32,1.37E-03
AC007510.1,388336,-0.83,1.63E-04,-3.12,1.09E-03
NUPR1,26471,-0.83,2.46E-04,-2.73,2.42E-03
GLRA1,2741,-0.83,3.43E-04,-3.46,1.57E-03
RBMS3,27303,-0.83,4.97E-04,-1.94,6.85E-04
MFNG,4242,-0.82,9.18E-05,-2.16,2.34E-03
ZNF646,9726,-0.82,2.14E-04,-2.95,1.74E-03
SLC9A3R2,9351,-0.82,1.76E-04,-1.64,2.40E-03
ABHD3,171586,-0.82,3.84E-04,-2.00,1.93E-03
RHOQ,23433,-0.82,5.40E-04,-1.85,1.07E-03
VASP,7408,-0.82,2.33E-04,-1.89,6.53E-04
SERPINB6,5269,-0.82,1.73E-04,-1.78,2.48E-03
KLHDC8A,55220,-0.82,2.13E-04,-2.40,3.89E-04
C10orf105,414152,-0.81,6.98E-04,-4.25,2.70E-03
ANUBL1,93550,-0.81,5.84E-04,-1.87,3.88E-04
KCNJ16,3773,-0.81,4.26E-04,-2.85,1.24E-03
KLHL13,90293,-0.81,4.80E-04,-2.48,2.08E-03
WWTR1,25937,-0.81,2.14E-04,-2.38,1.66E-03
RFX5,5993,-0.81,3.74E-04,-2.00,2.65E-03
ITGB1,3688,-0.81,1.19E-04,-1.70,7.49E-04
STAT1,6772,-0.81,5.37E-04,-1.56,2.85E-03
BTN3A2,11118,-0.81,1.51E-04,-1.60,2.79E-03
HOXD3,3232,-0.81,3.21E-04,-5.99,4.60E-04
FAM70A,55026,-0.81,1.55E-04,-4.04,4.68E-04
MRVI1,10335,-0.81,2.72E-04,-2.02,2.04E-03
AC004409.1,347475,-0.81,6.02E-04,-2.18,1.11E-03
TPT1,7178,-0.81,6.42E-04,-1.65,1.87E-03
ATBF1,463,-0.81,4.47E-04,-2.34,1.76E-03
RAB21,23011,-0.81,1.99E-03,-1.48,2.49E-03
HOXA5,3202,-0.81,9.23E-05,-5.01,1.12E-04
WNT11,7481,-0.81,1.25E-04,-3.46,2.02E-04
UEVLD,55293,-0.80,2.50E-04,-1.34,3.05E-04
NTN1,9423,-0.80,1.55E-04,-3.10,1.29E-03
CD55,1604,-0.80,1.10E-04,-1.88,5.98E-04
CPXM2,119587,-0.80,9.18E-05,-3.91,4.48E-04
IL13RA1,3597,-0.80,9.18E-05,-1.76,7.31E-04
GBP4,115361,-0.80,1.28E-04,-1.75,1.64E-03
TNS1,7145,-0.80,2.05E-04,-2.33,1.06E-03
C19orf46,163183,-0.80,1.77E-04,-2.97,3.12E-04
SAMD11,148398,-0.80,3.39E-04,-3.53,8.96E-04
